Objective value: 107.6583

******Calibrated demand*****
ID	 CalibratedValue
ST00004428    0.3324
ST00004429    0.3463
ST00004430    0.3937
ST00004436    2.3903
ST00004441    0.7120
ST00004454    0.4833
ST00004456    0.4743
ST00004485    -0.0599
ST00004486    0.2550
ST00004490    1.2663
ST00004496    1.7166
ST00004517    0.4200
ST00004518    -0.0841
ST00004519    0.2566
ST00004543    1.2102
ST00004544    2.4178
ST00004552    2.2914
ST00004592    0.8836
ST00004610    0.2955
ST00004614    2.1780
ST00004615    1.8091
ST00004618    0.4129
ST00004619    0.3002
ST00004621    0.2962
ST00004622    0.4165
ST00004623    0.4160
ST00004624    0.3227
ST00004626    0.3345
ST00004653    0.2815
ST00004654    0.3660
ST00004664    0.3619
ST00004669    0.3336
ST00004672    0.4066
ST00004674    0.2946
ST00004675    0.4112
ST00004679    0.3472
ST00004680    0.3493
ST00004683    0.4450
ST00004688    0.5790
ST00004694    0.3290
ST00004696    0.3551
ST00004698    0.3366
ST00004702    0.3564
ST00004703    0.4420
ST00004755    0.3892
ST00004756    1.8282
ST00004757    2.5625
ST00004758    2.2475
ST00004759    1.9835
ST00004760    0.4167
ST00004762    0.3749
ST00004784    0.3606
ST00004791    0.3711
ST00004792    0.3141
ST00004834    1.1331
ST00004857    0.9716
ST00004858    0.8536
ST00004862    0.7864
ST00004875    0.0600
ST00004877    0.7052
ST00004878    1.5522
ST00004899    -0.1531
ST00004902    0.3317
ST00004905    0.3286
ST00004927    0.9937
ST00004937    1.1628
ST00004939    1.1679
ST00004943    1.2913
ST00004944    0.3427
ST00004946    2.0301
ST00004953    0.4164
ST00004955    2.1086
ST00004975    1.6130
ST00005026    0.9736
ST00005069    0.4347
ST00005079    0.3879
ST00005084    -0.0336
ST00005086    0.4231
ST00005087    0.3084
ST00005094    0.2978
ST00005095    0.3927
ST00005096    0.2815
ST00005097    0.3363
ST00005108    0.3418
ST00005114    0.3851
ST00005115    0.3036
ST00005116    0.3095
ST00005117    0.4003
ST00005157    0.3074
ST00005163    0.4184
ST00005165    0.3756
ST00005166    0.4160
ST00005170    0.3348
ST00005176    0.3622
ST00005197    1.0200
ST00005200    0.8799
ST00005201    0.8751
ST00005202    1.0074
ST00005215    1.0891
ST00005217    0.8589
ST00005229    1.0238
ST00005264    0.2901
ST00005265    0.3787
ST00005266    -0.1489
ST00005267    0.3769
ST00005268    0.3948
ST00005269    0.3258
ST00005271    1.9335
ST00005274    4.4282
ST00005277    0.1896
ST00005279    0.2036
ST00005280    0.7475
ST00005281    0.5340
ST00005283    1.4892
ST00005284    0.3521
ST00005286    0.3529
ST00005296    0.6932
ST00005298    0.7552
ST00005301    0.3443
ST00005302    0.5965
ST00005309    -0.0567
ST00005312    -0.0706
ST00005316    -0.0734
ST00005317    0.4812
ST00005324    0.3177
ST00005325    -0.0543
ST00005331    0.7130
ST00005335    0.3881
ST00005337    0.1700
ST00005371    0.8885
ST00005433    0.3417
ST00005437    0.3764
ST00005440    0.2223
ST00005445    0.5413
ST00005487    1.1723
ST00005496    0.3636
ST00005504    0.3747
ST00005506    0.3143
ST00005510    0.3599
ST00005513    0.3702
ST00005558    -0.1123
ST00005584    0.3672
ST00005585    0.3716
ST00005588    0.3870
ST00005664    0.3328
ST00005665    0.3627
ST00005666    0.4085
ST00005669    0.3787
ST00005674    0.3785
ST00005688    1.3240
ST00005708    2.0088
ST00005724    2.1166
ST00005779    1.0742
ST00005781    1.8637
ST00005785    1.5712
ST00005892    1.6910
ST00005894    0.9046
ST00005903    0.4624
ST00005912    0.5324
